CaseID,contest_no,Education,Gender,Country of Origin,Reason for Application,Job,Job Experience,Job Plans,Prior Entry,Language Skills,Chosen_Immigrant,ethnocentrism,profile,LangPos,PriorPos
113,4,4th grade,male,Germany,seek better job,nurse,none,interviews with employer,once as tourist,broken English,1,0,1,2,3
113,4,graduate degree,female,Iraq,escape persecution,doctor,5+ years,interviews with employer,once w/o authorization,broken English,0,0,2,2,3
113,5,graduate degree,female,Somalia,reunite with family,nurse,1-2 years,contract with employer,once as tourist,broken English,1,0,1,2,3
113,5,college degree,female,Somalia,reunite with family,child care provider,3-5 years,interviews with employer,once as tourist,tried English but unable,0,0,2,2,3
114,1,high school,female,Poland,reunite with family,janitor,none,no plans to look for work,once as tourist,tried English but unable,0,0,1,8,6
114,1,no formal,female,Somalia,reunite with family,janitor,3-5 years,contract with employer,once w/o authorization,broken English,1,0,2,8,6
114,2,4th grade,female,Germany,seek better job,construction worker,none,contract with employer,six months with family,tried English but unable,1,0,1,8,6
114,2,no formal,female,Philippines,seek better job,gardener,1-2 years,no plans to look for work,once w/o authorization,broken English,0,0,2,8,6
114,3,4th grade,female,Philippines,seek better job,teacher,5+ years,no plans to look for work,never,tried English but unable,0,0,1,8,6
114,3,no formal,female,India,seek better job,teacher,3-5 years,contract with employer,many times as tourist,used interpreter,1,0,2,8,6
114,4,8th grade,female,Sudan,reunite with family,gardener,5+ years,will look for work,never,broken English,0,0,1,8,6
114,4,high school,female,Somalia,seek better job,construction worker,1-2 years,will look for work,once as tourist,used interpreter,1,0,2,8,6
114,5,college degree,female,China,escape persecution,construction worker,5+ years,will look for work,once w/o authorization,tried English but unable,0,0,1,8,6
114,5,8th grade,male,China,escape persecution,nurse,1-2 years,contract with employer,many times as tourist,used interpreter,1,0,2,8,6
115,1,8th grade,female,Poland,reunite with family,janitor,5+ years,will look for work,never,fluent English,1,NA,1,3,5
115,1,high school,female,Mexico,reunite with family,janitor,3-5 years,no plans to look for work,once as tourist,tried English but unable,0,NA,2,3,5
115,2,high school,male,China,seek better job,child care provider,5+ years,will look for work,six months with family,tried English but unable,0,NA,1,3,5
115,2,4th grade,female,Philippines,seek better job,nurse,3-5 years,no plans to look for work,once as tourist,used interpreter,1,NA,2,3,5
115,3,no formal,female,Poland,reunite with family,gardener,1-2 years,will look for work,six months with family,broken English,0,NA,1,3,5
115,3,two-year college,female,Mexico,reunite with family,research scientist,5+ years,contract with employer,never,fluent English,1,NA,2,3,5
115,4,high school,male,Poland,seek better job,gardener,5+ years,no plans to look for work,many times as tourist,tried English but unable,0,NA,1,3,5
115,4,8th grade,female,China,escape persecution,construction worker,5+ years,interviews with employer,never,tried English but unable,1,NA,2,3,5
115,5,8th grade,male,France,seek better job,gardener,1-2 years,will look for work,once as tourist,used interpreter,0,NA,1,3,5
115,5,two-year college,male,Germany,seek better job,construction worker,1-2 years,interviews with employer,once w/o authorization,fluent English,1,NA,2,3,5
116,1,college degree,female,Sudan,escape persecution,financial analyst,1-2 years,contract with employer,once w/o authorization,broken English,1,NA,1,3,2
116,1,no formal,female,Iraq,reunite with family,nurse,3-5 years,no plans to look for work,many times as tourist,broken English,0,NA,2,3,2
116,2,graduate degree,male,Iraq,reunite with family,computer programmer,3-5 years,interviews with employer,six months with family,tried English but unable,1,NA,1,3,2
116,2,no formal,female,Mexico,reunite with family,janitor,1-2 years,contract with employer,many times as tourist,used interpreter,0,NA,2,3,2
116,3,college degree,female,Sudan,reunite with family,doctor,1-2 years,contract with employer,six months with family,broken English,0,NA,1,3,2
116,3,graduate degree,male,Somalia,reunite with family,doctor,5+ years,contract with employer,six months with family,broken English,1,NA,2,3,2
116,4,two-year college,male,Somalia,reunite with family,nurse,none,contract with employer,never,broken English,0,NA,1,3,2
116,4,college degree,female,India,reunite with family,computer programmer,3-5 years,will look for work,once as tourist,used interpreter,1,NA,2,3,2
116,5,high school,male,Sudan,reunite with family,gardener,1-2 years,will look for work,six months with family,fluent English,1,NA,1,3,2
116,5,8th grade,male,Somalia,escape persecution,janitor,none,interviews with employer,once w/o authorization,fluent English,0,NA,2,3,2
117,1,high school,male,Philippines,reunite with family,waiter,1-2 years,interviews with employer,six months with family,broken English,1,6.666668,1,2,5
117,1,two-year college,male,Somalia,seek better job,computer programmer,5+ years,interviews with employer,once w/o authorization,broken English,0,6.666668,2,2,5
117,2,graduate degree,male,Poland,seek better job,nurse,3-5 years,will look for work,once w/o authorization,used interpreter,0,6.666668,1,2,5
117,2,8th grade,female,France,reunite with family,construction worker,1-2 years,will look for work,once as tourist,tried English but unable,1,6.666668,2,2,5
117,3,no formal,male,Mexico,reunite with family,waiter,none,contract with employer,six months with family,tried English but unable,0,6.666668,1,2,5
117,3,two-year college,female,Philippines,seek better job,computer programmer,1-2 years,no plans to look for work,never,used interpreter,1,6.666668,2,2,5
117,4,high school,male,India,reunite with family,construction worker,5+ years,contract with employer,six months with family,fluent English,1,6.666668,1,2,5
117,4,two-year college,female,Somalia,escape persecution,doctor,1-2 years,interviews with employer,six months with family,tried English but unable,0,6.666668,2,2,5
117,5,8th grade,female,Germany,seek better job,teacher,1-2 years,no plans to look for work,once w/o authorization,broken English,0,6.666668,1,2,5
117,5,graduate degree,female,Mexico,seek better job,teacher,3-5 years,interviews with employer,many times as tourist,fluent English,1,6.666668,2,2,5
118,1,8th grade,male,Germany,seek better job,waiter,1-2 years,interviews with employer,many times as tourist,used interpreter,1,21.666664,1,2,4
118,1,no formal,female,Somalia,reunite with family,teacher,1-2 years,will look for work,many times as tourist,used interpreter,0,21.666664,2,2,4
118,2,high school,male,Somalia,reunite with family,gardener,5+ years,will look for work,once w/o authorization,tried English but unable,0,21.666664,1,2,4
118,2,4th grade,male,Mexico,reunite with family,nurse,1-2 years,no plans to look for work,once as tourist,broken English,1,21.666664,2,2,4
118,3,high school,male,Germany,reunite with family,child care provider,1-2 years,no plans to look for work,never,fluent English,0,21.666664,1,2,4
118,3,college degree,male,France,reunite with family,gardener,none,interviews with employer,six months with family,broken English,1,21.666664,2,2,4
118,4,college degree,female,Mexico,seek better job,janitor,1-2 years,no plans to look for work,once as tourist,used interpreter,1,21.666664,1,2,4
118,4,graduate degree,male,Philippines,seek better job,computer programmer,3-5 years,contract with employer,never,used interpreter,0,21.666664,2,2,4
118,5,4th grade,male,India,seek better job,janitor,5+ years,will look for work,once w/o authorization,tried English but unable,0,21.666664,1,2,4
118,5,college degree,female,India,seek better job,teacher,1-2 years,contract with employer,never,used interpreter,1,21.666664,2,2,4
119,1,two-year college,male,Somalia,reunite with family,nurse,none,interviews with employer,once as tourist,used interpreter,1,8,1,4,1
119,1,8th grade,female,Iraq,seek better job,janitor,3-5 years,contract with employer,six months with family,broken English,0,8,2,4,1
119,2,no formal,female,Poland,seek better job,nurse,1-2 years,interviews with employer,many times as tourist,used interpreter,1,8,1,4,1
119,2,college degree,female,China,seek better job,janitor,1-2 years,will look for work,never,fluent English,0,8,2,4,1
119,3,graduate degree,female,Sudan,escape persecution,nurse,3-5 years,interviews with employer,six months with family,fluent English,0,8,1,4,1
119,3,8th grade,male,Germany,seek better job,gardener,3-5 years,contract with employer,once w/o authorization,broken English,1,8,2,4,1
119,4,two-year college,male,Poland,seek better job,construction worker,3-5 years,will look for work,never,tried English but unable,0,8,1,4,1
119,4,graduate degree,male,Mexico,reunite with family,child care provider,5+ years,contract with employer,six months with family,fluent English,1,8,2,4,1
119,5,college degree,female,Poland,reunite with family,janitor,3-5 years,contract with employer,many times as tourist,broken English,1,8,1,4,1
119,5,two-year college,female,India,seek better job,construction worker,5+ years,will look for work,never,broken English,0,8,2,4,1
120,1,8th grade,female,Sudan,seek better job,teacher,5+ years,will look for work,once w/o authorization,broken English,0,5,1,2,5
120,1,two-year college,female,Mexico,seek better job,computer programmer,3-5 years,no plans to look for work,once as tourist,broken English,1,5,2,2,5
120,2,graduate degree,male,Philippines,reunite with family,janitor,5+ years,no plans to look for work,once w/o authorization,tried English but unable,0,5,1,2,5
120,2,graduate degree,female,Sudan,seek better job,financial analyst,5+ years,interviews with employer,once as tourist,broken English,1,5,2,2,5
120,3,no formal,male,Germany,reunite with family,janitor,5+ years,no plans to look for work,six months with family,used interpreter,0,5,1,2,5
120,3,college degree,female,Iraq,seek better job,construction worker,1-2 years,contract with employer,six months with family,used interpreter,1,5,2,2,5
120,4,high school,female,India,seek better job,construction worker,none,interviews with employer,six months with family,tried English but unable,0,5,1,2,5
120,4,college degree,female,China,reunite with family,computer programmer,none,no plans to look for work,once w/o authorization,fluent English,1,5,2,2,5
120,5,high school,male,India,reunite with family,teacher,3-5 years,will look for work,many times as tourist,fluent English,1,5,1,2,5
120,5,graduate degree,female,Mexico,reunite with family,doctor,none,no plans to look for work,many times as tourist,broken English,0,5,2,2,5
121,1,college degree,female,Philippines,reunite with family,child care provider,5+ years,no plans to look for work,never,broken English,1,-49.333336,1,2,1
121,1,no formal,female,Germany,reunite with family,waiter,1-2 years,interviews with employer,never,used interpreter,0,-49.333336,2,2,1
121,2,no formal,male,Philippines,reunite with family,nurse,none,no plans to look for work,once w/o authorization,fluent English,0,-49.333336,1,2,1
121,2,no formal,male,Philippines,reunite with family,janitor,1-2 years,will look for work,six months with family,broken English,1,-49.333336,2,2,1
121,3,high school,male,France,seek better job,janitor,1-2 years,will look for work,once as tourist,fluent English,1,-49.333336,1,2,1
121,3,4th grade,female,Mexico,seek better job,child care provider,none,no plans to look for work,once w/o authorization,tried English but unable,0,-49.333336,2,2,1
121,4,8th grade,female,Philippines,seek better job,child care provider,5+ years,will look for work,once as tourist,fluent English,1,-49.333336,1,2,1
121,4,high school,female,Iraq,escape persecution,janitor,3-5 years,will look for work,never,fluent English,0,-49.333336,2,2,1
121,5,college degree,female,Philippines,reunite with family,financial analyst,1-2 years,will look for work,many times as tourist,broken English,1,-49.333336,1,2,1
121,5,no formal,male,China,seek better job,child care provider,3-5 years,no plans to look for work,once as tourist,broken English,0,-49.333336,2,2,1
122,1,two-year college,female,France,reunite with family,construction worker,3-5 years,interviews with employer,never,tried English but unable,0,25,1,9,5
122,1,graduate degree,female,Somalia,seek better job,gardener,1-2 years,contract with employer,many times as tourist,broken English,1,25,2,9,5
122,2,no formal,male,Poland,reunite with family,nurse,1-2 years,will look for work,once w/o authorization,broken English,0,25,1,9,5
122,2,graduate degree,male,Somalia,seek better job,janitor,none,contract with employer,many times as tourist,fluent English,1,25,2,9,5
122,3,8th grade,male,Sudan,seek better job,gardener,none,contract with employer,many times as tourist,tried English but unable,1,25,1,9,5
122,3,no formal,female,Mexico,seek better job,nurse,5+ years,interviews with employer,six months with family,broken English,0,25,2,9,5
122,4,no formal,female,Poland,reunite with family,construction worker,1-2 years,contract with employer,many times as tourist,used interpreter,0,25,1,9,5
122,4,college degree,male,Iraq,seek better job,janitor,1-2 years,contract with employer,never,fluent English,1,25,2,9,5
122,5,8th grade,male,Iraq,seek better job,waiter,3-5 years,will look for work,never,fluent English,0,25,1,9,5
122,5,graduate degree,female,Poland,seek better job,research scientist,1-2 years,contract with employer,once as tourist,used interpreter,1,25,2,9,5
123,1,high school,female,Poland,reunite with family,gardener,none,will look for work,once as tourist,fluent English,1,18.333336,1,3,9
123,1,college degree,female,France,seek better job,financial analyst,none,interviews with employer,six months with family,used interpreter,0,18.333336,2,3,9
123,2,4th grade,female,India,seek better job,teacher,1-2 years,no plans to look for work,once as tourist,used interpreter,1,18.333336,1,3,9
123,2,two-year college,female,Germany,seek better job,child care provider,none,contract with employer,once w/o authorization,used interpreter,0,18.333336,2,3,9
123,3,two-year college,male,China,reunite with family,research scientist,none,no plans to look for work,never,used interpreter,0,18.333336,1,3,9
123,3,two-year college,female,Somalia,escape persecution,janitor,1-2 years,interviews with employer,once as tourist,used interpreter,1,18.333336,2,3,9
123,4,two-year college,male,Somalia,escape persecution,doctor,5+ years,interviews with employer,many times as tourist,broken English,1,18.333336,1,3,9
123,4,no formal,female,Philippines,reunite with family,gardener,none,will look for work,many times as tourist,broken English,0,18.333336,2,3,9
123,5,college degree,female,Iraq,escape persecution,research scientist,3-5 years,will look for work,never,broken English,1,18.333336,1,3,9
123,5,graduate degree,female,France,reunite with family,teacher,5+ years,interviews with employer,never,fluent English,0,18.333336,2,3,9
125,1,4th grade,male,Mexico,reunite with family,janitor,none,interviews with employer,once w/o authorization,tried English but unable,1,6.666668,1,1,5
125,1,college degree,female,Poland,reunite with family,waiter,none,no plans to look for work,many times as tourist,used interpreter,0,6.666668,2,1,5
125,2,two-year college,female,Germany,seek better job,computer programmer,1-2 years,interviews with employer,never,tried English but unable,1,6.666668,1,1,5
125,2,no formal,female,Poland,seek better job,teacher,none,no plans to look for work,once w/o authorization,used interpreter,0,6.666668,2,1,5
125,3,8th grade,female,Iraq,reunite with family,teacher,1-2 years,contract with employer,six months with family,fluent English,0,6.666668,1,1,5
125,3,8th grade,male,Poland,reunite with family,gardener,1-2 years,will look for work,never,used interpreter,1,6.666668,2,1,5
125,4,two-year college,male,Poland,reunite with family,gardener,5+ years,will look for work,six months with family,fluent English,0,6.666668,1,1,5
125,4,high school,female,China,escape persecution,nurse,3-5 years,will look for work,once as tourist,tried English but unable,1,6.666668,2,1,5
125,5,two-year college,female,Mexico,seek better job,janitor,5+ years,interviews with employer,once w/o authorization,fluent English,1,6.666668,1,1,5
125,5,two-year college,male,France,seek better job,computer programmer,5+ years,contract with employer,six months with family,broken English,0,6.666668,2,1,5
126,1,8th grade,female,Germany,seek better job,gardener,none,contract with employer,never,fluent English,1,NA,1,9,3
126,1,graduate degree,male,India,seek better job,child care provider,5+ years,no plans to look for work,once as tourist,used interpreter,0,NA,2,9,3
126,2,high school,female,France,reunite with family,construction worker,3-5 years,contract with employer,never,broken English,1,NA,1,9,3
126,2,college degree,female,India,reunite with family,teacher,none,will look for work,once w/o authorization,fluent English,0,NA,2,9,3
126,3,8th grade,female,Poland,seek better job,child care provider,none,no plans to look for work,once as tourist,tried English but unable,1,NA,1,9,3
126,3,graduate degree,male,France,reunite with family,financial analyst,3-5 years,interviews with employer,six months with family,used interpreter,0,NA,2,9,3
126,4,high school,female,France,seek better job,nurse,1-2 years,will look for work,never,broken English,0,NA,1,9,3
126,4,8th grade,male,Somalia,seek better job,teacher,1-2 years,contract with employer,once w/o authorization,fluent English,1,NA,2,9,3
126,5,4th grade,female,India,reunite with family,child care provider,3-5 years,will look for work,many times as tourist,used interpreter,0,NA,1,9,3
126,5,graduate degree,female,China,seek better job,waiter,none,contract with employer,never,tried English but unable,1,NA,2,9,3
127,1,8th grade,male,Germany,reunite with family,waiter,1-2 years,will look for work,six months with family,tried English but unable,0,0,1,4,8
127,1,4th grade,female,Germany,seek better job,nurse,3-5 years,will look for work,once as tourist,fluent English,1,0,2,4,8
127,2,no formal,female,China,reunite with family,construction worker,5+ years,contract with employer,once w/o authorization,tried English but unable,1,0,1,4,8
127,2,4th grade,male,France,reunite with family,nurse,none,will look for work,once w/o authorization,broken English,0,0,2,4,8
127,3,no formal,female,China,reunite with family,gardener,1-2 years,contract with employer,never,fluent English,1,0,1,4,8
127,3,college degree,male,India,reunite with family,gardener,3-5 years,will look for work,six months with family,broken English,0,0,2,4,8
127,4,no formal,male,Iraq,reunite with family,janitor,5+ years,interviews with employer,once w/o authorization,broken English,0,0,1,4,8
127,4,two-year college,male,Sudan,escape persecution,teacher,5+ years,contract with employer,many times as tourist,fluent English,1,0,2,4,8
127,5,4th grade,female,India,seek better job,janitor,3-5 years,interviews with employer,never,fluent English,1,0,1,4,8
127,5,no formal,female,Philippines,seek better job,janitor,3-5 years,no plans to look for work,never,used interpreter,0,0,2,4,8
128,1,graduate degree,female,Mexico,seek better job,doctor,3-5 years,will look for work,many times as tourist,tried English but unable,1,NA,1,3,1
128,1,4th grade,female,Mexico,seek better job,gardener,1-2 years,no plans to look for work,many times as tourist,used interpreter,0,NA,2,3,1
128,2,4th grade,male,Iraq,escape persecution,waiter,5+ years,interviews with employer,six months with family,used interpreter,0,NA,1,3,1
128,2,college degree,male,Mexico,reunite with family,construction worker,3-5 years,will look for work,six months with family,fluent English,1,NA,2,3,1
128,3,8th grade,female,Iraq,reunite with family,teacher,5+ years,contract with employer,once w/o authorization,tried English but unable,0,NA,1,3,1
128,3,graduate degree,male,China,seek better job,nurse,3-5 years,will look for work,six months with family,fluent English,1,NA,2,3,1
128,4,graduate degree,female,China,seek better job,waiter,5+ years,will look for work,many times as tourist,tried English but unable,0,NA,1,3,1
128,4,college degree,female,India,seek better job,child care provider,1-2 years,will look for work,six months with family,broken English,1,NA,2,3,1
128,5,graduate degree,male,China,reunite with family,gardener,3-5 years,will look for work,six months with family,broken English,1,NA,1,3,1
128,5,4th grade,female,Poland,reunite with family,janitor,5+ years,will look for work,once w/o authorization,used interpreter,0,NA,2,3,1
129,1,high school,female,India,reunite with family,nurse,3-5 years,will look for work,once as tourist,tried English but unable,1,NA,1,6,5
129,1,no formal,male,Poland,seek better job,gardener,none,no plans to look for work,once w/o authorization,fluent English,0,NA,2,6,5
129,2,4th grade,female,Mexico,seek better job,waiter,1-2 years,interviews with employer,once w/o authorization,used interpreter,1,NA,1,6,5
129,2,college degree,male,Mexico,seek better job,teacher,5+ years,will look for work,many times as tourist,fluent English,0,NA,2,6,5
129,3,graduate degree,female,China,seek better job,computer programmer,5+ years,no plans to look for work,six months with family,tried English but unable,1,NA,1,6,5
129,3,4th grade,male,India,reunite with family,janitor,5+ years,will look for work,once as tourist,used interpreter,0,NA,2,6,5
129,4,graduate degree,female,Germany,reunite with family,janitor,1-2 years,interviews with employer,six months with family,tried English but unable,1,NA,1,6,5
129,4,high school,male,Germany,reunite with family,construction worker,none,no plans to look for work,six months with family,tried English but unable,0,NA,2,6,5
129,5,graduate degree,female,France,seek better job,computer programmer,3-5 years,no plans to look for work,once w/o authorization,fluent English,0,NA,1,6,5
129,5,graduate degree,male,Poland,reunite with family,nurse,none,interviews with employer,never,fluent English,1,NA,2,6,5
131,1,two-year college,male,Poland,reunite with family,child care provider,5+ years,interviews with employer,once as tourist,used interpreter,0,16.666664,1,1,4
131,1,college degree,female,Sudan,escape persecution,computer programmer,1-2 years,will look for work,many times as tourist,broken English,1,16.666664,2,1,4
131,2,college degree,female,Mexico,reunite with family,gardener,1-2 years,contract with employer,many times as tourist,fluent English,0,16.666664,1,1,4
131,2,high school,male,Philippines,reunite with family,waiter,5+ years,will look for work,many times as tourist,fluent English,1,16.666664,2,1,4
131,3,two-year college,male,Iraq,escape persecution,computer programmer,1-2 years,interviews with employer,never,tried English but unable,1,16.666664,1,1,4
131,3,high school,male,Somalia,escape persecution,nurse,none,no plans to look for work,once w/o authorization,broken English,0,16.666664,2,1,4
131,4,high school,male,China,reunite with family,child care provider,3-5 years,will look for work,six months with family,tried English but unable,1,16.666664,1,1,4
131,4,4th grade,male,Mexico,seek better job,janitor,3-5 years,contract with employer,never,fluent English,0,16.666664,2,1,4
131,5,college degree,female,Poland,seek better job,teacher,3-5 years,no plans to look for work,once w/o authorization,broken English,1,16.666664,1,1,4
131,5,high school,male,Somalia,reunite with family,child care provider,none,no plans to look for work,never,tried English but unable,0,16.666664,2,1,4
133,1,two-year college,female,France,seek better job,construction worker,3-5 years,interviews with employer,many times as tourist,broken English,1,37.666668,1,4,7
133,1,no formal,female,Philippines,reunite with family,waiter,3-5 years,interviews with employer,never,fluent English,0,37.666668,2,4,7
133,2,graduate degree,male,Poland,reunite with family,teacher,5+ years,no plans to look for work,never,broken English,1,37.666668,1,4,7
133,2,high school,male,Philippines,seek better job,nurse,5+ years,contract with employer,once w/o authorization,used interpreter,0,37.666668,2,4,7
133,3,college degree,female,India,seek better job,child care provider,none,will look for work,many times as tourist,broken English,1,37.666668,1,4,7
133,3,college degree,male,France,seek better job,financial analyst,1-2 years,will look for work,once w/o authorization,broken English,0,37.666668,2,4,7
133,4,two-year college,female,Germany,reunite with family,computer programmer,none,no plans to look for work,once w/o authorization,broken English,0,37.666668,1,4,7
133,4,two-year college,male,Germany,seek better job,gardener,none,no plans to look for work,many times as tourist,fluent English,1,37.666668,2,4,7
133,5,high school,male,Germany,seek better job,waiter,1-2 years,no plans to look for work,six months with family,tried English but unable,1,37.666668,1,4,7
133,5,8th grade,female,Poland,seek better job,construction worker,1-2 years,interviews with employer,once as tourist,used interpreter,0,37.666668,2,4,7
134,1,8th grade,male,Iraq,reunite with family,teacher,none,interviews with employer,never,broken English,1,NA,1,2,1
134,1,graduate degree,male,Germany,reunite with family,research scientist,1-2 years,will look for work,never,tried English but unable,0,NA,2,2,1
134,2,no formal,male,Poland,seek better job,gardener,1-2 years,interviews with employer,many times as tourist,broken English,0,NA,1,2,1
134,2,two-year college,female,Somalia,reunite with family,construction worker,none,contract with employer,many times as tourist,used interpreter,1,NA,2,2,1
134,3,college degree,male,Sudan,reunite with family,waiter,5+ years,interviews with employer,never,tried English but unable,1,NA,1,2,1
134,3,two-year college,male,India,seek better job,nurse,none,interviews with employer,many times as tourist,used interpreter,0,NA,2,2,1
134,4,4th grade,female,Sudan,seek better job,janitor,none,interviews with employer,never,broken English,0,NA,1,2,1
134,4,graduate degree,male,Somalia,escape persecution,doctor,3-5 years,no plans to look for work,many times as tourist,used interpreter,1,NA,2,2,1
134,5,8th grade,female,Philippines,seek better job,teacher,1-2 years,will look for work,once as tourist,used interpreter,1,NA,1,2,1
134,5,no formal,female,Germany,seek better job,waiter,3-5 years,no plans to look for work,many times as tourist,used interpreter,0,NA,2,2,1
135,1,8th grade,male,Somalia,escape persecution,janitor,none,no plans to look for work,once w/o authorization,broken English,1,1.6666641,1,8,3
135,1,no formal,male,China,escape persecution,waiter,1-2 years,no plans to look for work,never,used interpreter,0,1.6666641,2,8,3
135,2,college degree,male,China,seek better job,nurse,5+ years,no plans to look for work,once w/o authorization,used interpreter,0,1.6666641,1,8,3
135,2,8th grade,male,China,seek better job,construction worker,5+ years,will look for work,once w/o authorization,fluent English,1,1.6666641,2,8,3
135,3,graduate degree,female,France,reunite with family,nurse,1-2 years,interviews with employer,six months with family,fluent English,1,1.6666641,1,8,3
135,3,two-year college,male,Germany,reunite with family,waiter,1-2 years,will look for work,many times as tourist,used interpreter,0,1.6666641,2,8,3
135,4,high school,male,Mexico,reunite with family,janitor,5+ years,no plans to look for work,many times as tourist,used interpreter,0,1.6666641,1,8,3
135,4,4th grade,female,Iraq,reunite with family,nurse,none,contract with employer,never,used interpreter,1,1.6666641,2,8,3
135,5,high school,female,India,seek better job,teacher,none,interviews with employer,six months with family,tried English but unable,0,1.6666641,1,8,3
135,5,graduate degree,female,India,reunite with family,gardener,3-5 years,interviews with employer,once w/o authorization,fluent English,1,1.6666641,2,8,3
136,1,two-year college,male,Iraq,escape persecution,computer programmer,3-5 years,interviews with employer,many times as tourist,fluent English,1,0,1,6,5
136,1,8th grade,female,Sudan,seek better job,gardener,5+ years,interviews with employer,never,broken English,0,0,2,6,5
136,2,two-year college,male,Poland,reunite with family,gardener,none,interviews with employer,never,fluent English,0,0,1,6,5
136,2,two-year college,female,Sudan,seek better job,gardener,5+ years,contract with employer,once as tourist,tried English but unable,1,0,2,6,5
136,3,high school,male,Sudan,reunite with family,gardener,5+ years,no plans to look for work,many times as tourist,fluent English,0,0,1,6,5
136,3,high school,female,India,reunite with family,waiter,1-2 years,will look for work,many times as tourist,broken English,1,0,2,6,5
136,4,graduate degree,female,India,seek better job,janitor,5+ years,contract with employer,once as tourist,broken English,1,0,1,6,5
136,4,college degree,male,France,seek better job,gardener,3-5 years,will look for work,once w/o authorization,used interpreter,0,0,2,6,5
136,5,college degree,male,Poland,seek better job,financial analyst,5+ years,will look for work,many times as tourist,used interpreter,0,0,1,6,5
136,5,two-year college,male,Mexico,seek better job,computer programmer,1-2 years,no plans to look for work,many times as tourist,tried English but unable,1,0,2,6,5
137,1,high school,female,Philippines,reunite with family,janitor,1-2 years,interviews with employer,once w/o authorization,tried English but unable,0,-3.3333359,1,2,9
137,1,graduate degree,male,Mexico,seek better job,research scientist,5+ years,contract with employer,never,fluent English,1,-3.3333359,2,2,9
137,2,two-year college,male,Poland,seek better job,computer programmer,3-5 years,no plans to look for work,never,fluent English,0,-3.3333359,1,2,9
137,2,4th grade,male,Iraq,reunite with family,construction worker,none,contract with employer,once w/o authorization,fluent English,1,-3.3333359,2,2,9
137,3,high school,male,Iraq,seek better job,construction worker,3-5 years,will look for work,many times as tourist,used interpreter,0,-3.3333359,1,2,9
137,3,college degree,female,China,reunite with family,nurse,3-5 years,no plans to look for work,six months with family,fluent English,1,-3.3333359,2,2,9
137,4,two-year college,male,Somalia,reunite with family,financial analyst,1-2 years,no plans to look for work,once w/o authorization,fluent English,1,-3.3333359,1,2,9
137,4,college degree,female,Sudan,seek better job,janitor,none,no plans to look for work,once w/o authorization,broken English,0,-3.3333359,2,2,9
137,5,college degree,male,Germany,seek better job,financial analyst,3-5 years,will look for work,once w/o authorization,broken English,1,-3.3333359,1,2,9
137,5,graduate degree,male,France,seek better job,doctor,1-2 years,no plans to look for work,many times as tourist,fluent English,0,-3.3333359,2,2,9
138,1,high school,female,India,seek better job,janitor,5+ years,interviews with employer,six months with family,tried English but unable,1,-35,1,6,7
138,1,4th grade,male,Sudan,escape persecution,waiter,1-2 years,interviews with employer,once as tourist,tried English but unable,0,-35,2,6,7
138,2,two-year college,female,India,seek better job,waiter,3-5 years,will look for work,six months with family,fluent English,1,-35,1,6,7
138,2,high school,female,China,seek better job,child care provider,3-5 years,will look for work,once w/o authorization,broken English,0,-35,2,6,7
138,3,4th grade,female,Mexico,reunite with family,child care provider,1-2 years,no plans to look for work,never,broken English,0,-35,1,6,7
138,3,no formal,female,Germany,seek better job,construction worker,5+ years,contract with employer,many times as tourist,broken English,1,-35,2,6,7
138,4,high school,male,India,reunite with family,child care provider,5+ years,interviews with employer,once w/o authorization,tried English but unable,0,-35,1,6,7
138,4,graduate degree,male,Philippines,reunite with family,financial analyst,3-5 years,interviews with employer,once w/o authorization,fluent English,1,-35,2,6,7
138,5,college degree,female,Iraq,escape persecution,nurse,5+ years,interviews with employer,six months with family,broken English,1,-35,1,6,7
138,5,two-year college,female,Mexico,seek better job,gardener,1-2 years,interviews with employer,once w/o authorization,used interpreter,0,-35,2,6,7
139,1,4th grade,male,Somalia,escape persecution,waiter,5+ years,contract with employer,many times as tourist,broken English,1,NA,1,9,1
139,1,two-year college,female,India,seek better job,research scientist,5+ years,interviews with employer,six months with family,tried English but unable,0,NA,2,9,1
139,2,8th grade,female,Mexico,seek better job,gardener,5+ years,contract with employer,six months with family,tried English but unable,1,NA,1,9,1
139,2,4th grade,male,India,reunite with family,janitor,5+ years,no plans to look for work,six months with family,fluent English,0,NA,2,9,1
139,3,graduate degree,male,Sudan,escape persecution,nurse,5+ years,contract with employer,six months with family,broken English,1,NA,1,9,1
139,3,high school,female,Germany,seek better job,child care provider,5+ years,no plans to look for work,never,used interpreter,0,NA,2,9,1
139,4,4th grade,female,Sudan,escape persecution,gardener,3-5 years,interviews with employer,once w/o authorization,used interpreter,0,NA,1,9,1
139,4,4th grade,male,Sudan,reunite with family,construction worker,5+ years,contract with employer,once w/o authorization,used interpreter,1,NA,2,9,1
139,5,two-year college,female,Poland,reunite with family,financial analyst,5+ years,will look for work,many times as tourist,tried English but unable,1,NA,1,9,1
139,5,high school,female,Poland,reunite with family,nurse,5+ years,interviews with employer,once as tourist,used interpreter,0,NA,2,9,1
140,1,4th grade,male,France,seek better job,construction worker,1-2 years,no plans to look for work,once as tourist,tried English but unable,0,0,1,6,8
140,1,college degree,male,Philippines,seek better job,research scientist,5+ years,interviews with employer,many times as tourist,tried English but unable,1,0,2,6,8
140,2,college degree,male,Philippines,seek better job,gardener,1-2 years,will look for work,six months with family,fluent English,0,0,1,6,8
